cell	x_coord	y_coord
5536	274	2274
5537	110	1145
5538	1220	882
5540	881	588
5543	515	2327
5545	471	1040
5564	1216	908
5575	484	828
5587	1038	913
5593	195	1307
5605	1478	842
5607	631	2404
5611	326	1447
5624	1116	2230
5630	438	2022
5632	76	1614
5658	643	1862
5675	843	847
5687	21	1395
5707	668	2416
5708	429	2375
5724	492	2299
5737	965	531
5757	383	1522
5761	903	323
5773	972	515
5776	576	1744
5778	683	2057
5779	377	1425
5782	575	402
5783	514	1724
5789	505	1037
5792	657	397
5812	1713	2937
5819	641	1845
5829	707	2295
5832	636	2220
5837	1015	492
5859	19	1249
5868	894	2047
5871	647	2295
5880	89	1751
5886	371	1918
5888	634	1674
5893	625	2121
5894	898	2295
5900	230	1009
5902	1005	447
5915	510	2290
5918	477	2326
5919	188	1963
5920	970	1935
5925	529	1714
5928	523	1604
5930	547	786
5936	273	1983
5942	245	909
5955	426	1461
5959	470	681
5961	68	1580
5970	542	2394
5997	723	1878
5999	531	1143
6004	391	1304
6016	152	2106
6018	495	1540
6034	694	2284
6042	48	1351
6058	878	2340
6073	355	1219
6075	946	2242
6083	1055	2514
6099	255	1887
6108	75	1799
6112	688	1748
6114	583	948
6147	1314	2378
6151	429	1907
6155	1039	2211
6157	986	459
6158	122	1360
6161	415	2466
6183	527	1101
6216	1445	2412
6218	292	2192
6224	661	1850
6229	64	1601
6248	36	1280
6259	903	2553
6260	428	1613
6263	288	1931
6275	743	2292
6278	240	1708
6285	1717	1004
6305	266	2179
6309	803	2060
6316	349	731
6330	751	2371
6334	560	2246
6356	553	2537
6357	455	2249
6364	823	2068
6377	267	1530
6396	915	2354
6398	89	1293
6403	241	2186
6406	1583	929
6409	477	1789
6413	823	2655
6422	61	1868
6433	444	1215
6435	1200	2210
6437	330	1206
6467	15	1688
6481	1149	2202
6485	1436	2429
6489	937	2255
6494	343	1356
6508	584	2101
6524	454	2435
6529	258	1245
6535	243	1905
6538	786	925
6546	338	723
6548	640	573
6550	1537	2369
6552	413	1453
6553	461	1549
6554	378	1986
6567	978	2067
6580	1886	2208
6582	198	1370
6590	618	804
6592	1433	2288
6602	1017	548
6608	41	1325
6620	976	2177
6629	291	1952
6653	440	2063
6658	334	2021
6659	503	949
6671	871	1912
6679	418	2276
6685	148	2057
6694	367	2349
6701	226	2014
6713	140	1954
6714	635	749
6721	552	2153
6736	706	1937
6740	103	1189
6751	323	2076
6757	259	2034
6760	562	1864
6763	570	2316
6769	146	1698
6776	112	1563
6783	456	1200
6786	677	419
6792	297	1667
6794	200	1660
6809	759	2470
6817	730	2306
6819	960	577
6823	655	2539
6835	446	2490
6838	1048	2153
6839	835	2123
6853	310	2168
6858	1006	2295
6870	605	2237
6874	979	478
6884	247	1557
6885	527	987
6886	1034	2153
6902	324	2180
6919	757	915
6935	715	256
6938	207	2077
6958	254	1861
6969	413	2252
6972	213	2175
6988	1682	966
6989	639	872
6996	352	2086
7029	261	2284
7040	236	2103
7044	1025	410
7070	375	1231
7090	447	1419
7106	792	799
7110	324	2230
7115	297	1683
7148	483	916
7166	750	862
7175	962	2072
7196	1188	2255
7201	301	2265
7203	26	1359
7215	436	1176
7217	519	1039
7221	1023	2216
7229	391	2131
7234	930	893
7235	551	2522
7236	30	1244
7238	694	414
7244	740	1776
7254	585	2395
7257	507	1764
7268	844	2691
7270	1027	2138
7283	921	2049
7286	1373	2242
7294	315	841
7301	550	2484
7305	225	911
7324	1082	2460
7326	976	939
7334	31	1509
7335	1028	2199
7357	119	1493
7368	170	946
7375	336	1383
7377	509	1678
7383	324	1552
7384	1247	2394
7389	901	1881
7399	721	2008
7401	1020	535
7408	800	2783
7410	643	2441
7411	1031	2115
7423	1305	2322
7443	750	932
7448	527	2192
7450	37	1373
7458	193	944
7462	727	1989
7468	803	1055
7477	970	1958
7486	265	2149
7494	974	579
7500	590	2313
7503	925	2347
7515	1024	2267
7518	379	1408
7528	194	2066
7542	234	996
7550	285	639
7560	354	704
7562	332	2115
7570	763	2040
7571	334	1072
7574	348	947
7576	610	2448
7581	567	2415
7582	440	2050
7613	1053	901
